序号,中标公告唯一标识,标段名称,标段编号,中标公告发布时间,中标单位,中标单位代码,中标价,项目负责人,工期,质量承诺,项目名称,中标时间,标段所在行政区域代码,费率或其它类型结果,交易平台名称,投诉情况,回复情况,行政监督机构名称,专家姓名,交易平台标识码,,
1668,7deac97f-dc39-46ac-ad3a-88b3f2671410,（22-0042）婺城区白龙桥镇高桥社区城中村改造拆迁调查摸底服务,A3307020790004098001001,31:30.0,金华市建佳房屋拆迁有限公司,9.13307E+17,3692000,郑梅艳,90,调查情况详实、统计数据清楚，调查结果符合业主的有关要求,（22-0042）婺城区白龙桥镇高桥社区城中村改造拆迁调查摸底服务,00:00.0,330702,,婺城区公共资源交易中心,,,金华市婺城区住房和城乡建设局,,A3307020790,,
1669,6c626338-140c-46e1-8d43-9566aba518d4,文成县珊溪镇温州映山红幼儿园等4所学校校舍加固工程（第一标段珊溪温州映山红幼儿园）,A3303280490000906906002,56:58.0,浙江众安建设集团有限公司,91330104566084709U,9063528,林允锦,60,合格,文成县珊溪镇温州映山红幼儿园等4所学校校舍加固工程,56:44.0,330328,,文成县公共资源交易中心,,,文成县发展和改革局,,A3303280490,,
1670,c3554230-3add-49c8-a678-6d8258baa8c1,,A3310821150001785001001,46:54.0,浙江博强建设有限公司,9.13311E+17,1594259,,0,,,46:54.0,331000,0,临海市公共资源交易中心,,,,,A3310821150,,
1671,95b77319-28ad-4aef-9e3a-d844958a7da4,高铁新城水环境治理项目—再生水厂工程总承包（EPC）,A3308010016090010010000,28:28.0,中联环股份有限公司,9.13502E+17,109501652.9,陈银霞,0,无,高铁新城水环境治理项目—再生水厂工程,28:28.0,330801,,衢州市公共资源交易中心,,,衢州市公共资源交易监督管理办公室,,A3308010910,,
1672,65bf1a60-5ad9-4685-b761-cf3f67276065,永久河单元幼儿园设计,A3301080120000874001001,00:00.0,浙江南方建筑设计有限公司,9.133E+17,1560000,无,0,无,永久河单元幼儿园设计,48:22.0,330108,,杭州高新技术产业开发区（滨江）公共资源交易中心,,,杭州高新技术产业开发区（滨江）建设工程招投标管理办公室,,A3301080120,,
1673,c1106317-752d-4aff-870d-f94a5b9eeb7f,G25长深（杭新景）高速公路灵桥互通改建工程房建施工,A3301010060200020001231,00:00.0,卓成建设集团有限公司,91360100563814876X,43773044,,0,无,G25长深（杭新景）高速公路灵桥互通改建工程房建施工,16:35.0,330101,,杭州市公共资源交易中心,,,杭州市交通运输局,,A3301010060,,
1674,d3c1c322-694b-438a-865e-144e130e08fb,绍兴市镜湖新区镜湖中心广场综合项目（含规划馆、美术馆、民博馆）全过程工程咨询,A3306010720000222001001,17:55.0,浙江五洲工程项目管理有限公司,91330000712561367H,14965500,严国飞,0,暂无,绍兴市镜湖新区镜湖中心广场综合项目（含规划馆、美术馆、民博馆）全过程工程咨询,17:55.0,330666,,绍兴市公共资源交易平台,,,绍兴政务服务办公室,,A3306010720,,
1675,248ee0fb-0c28-4a38-8c79-e0486c927705,施工Ⅰ标段（重新招标）,E3300000007000391006001,00:00.0,浙江省围海建设集团股份有限公司,9.13302E+17,480165226,葛千军,1095,无,玉环市漩门湾拓浚扩排工程,21:31.0,330000,,浙江省公共资源交易中心,,,浙江省招标投标管理中心,,A3300000020,,
1676,6317fd31-11d5-494c-87a8-ec5634c24834,汀杨线、五棉线等公路路面改造工程施工,A3307230810000837001001,34:09.0,武义县通达公路养护工程有限公司,91330723751152013L,15417153,杨益武,300,符合招标文件要求,汀杨线、五棉线等公路路面改造工程施工,20:13.0,330723,,武义县公共资源交易中心,,,武义县交通运输局,,A3307230810,,
1677,767f5917-69b4-4d4c-b26d-b5894ba45a4c,瑞安市南滨街道林北村标准厂房建设项目,A3303810530000718_01000,21:13.0,福建闽安建筑工程有限公司,9.13509E+17,27096746.23,郭强,365,合格,瑞安市南滨街道林北村标准厂房建设项目,21:13.0,330381,,瑞安市公共资源交易中心,,,瑞安市公共资源交易中心,,A3303810530,,
1678,1384f156-124f-4a4e-a025-9360590054d9,方岩安置区小学、卫生院区块配套道路工程,A3307840900000021001001,03:54.0,永康市广协市政工程有限公司,91330784758053958N,6360147,胡莹莹,180,不低于国家相关验收合格标准,方岩安置区小学、卫生院区块配套道路工程,00:00.0,330702,,永康市公共资源交易中心,,,永康市住房与城乡建设局,,A3307840900,,
1679,314f0141-668d-42ec-806c-f8e3382c0793,头门港产业园配套工程（一期）-东海第六大道及南洋九路（东海第五大道~东海第六大道）,A3310821150002574001001,32:29.0,台州立创建设有限公司,9.1331E+17,51030747,周永芳,0,合格,头门港产业园配套工程（一期）,32:29.0,331000,0,临海市公共资源交易中心,,,临海市公共资源交易管理办公室,,A3310821150,,
1680,1d54b42c-111e-4527-8fd5-b53c74676973,"乐清市南岳镇上岙村污水管网工程,",A3303820540001353001001,04:41.0,浙江佐邦建设有限公司,91330104MA2GPWPY6C,6255613,,90,1,乐清市南岳镇上岙村污水管网工程,04:38.0,330382,,乐清市公共资源交易中心,,,乐清市建设工程招标投标管理站,,A3303820540,,
1681,881afcf4-408d-471f-93fa-dbcd18645e42,瓯海区排水管网工程（二期）——西片2022年度实施部分——郭溪五标段,A3303040440000166001001,39:00.0,杞梓林生态建设有限公司,9133080074200377X0,45776225,蒋雷刚,300,合格,瓯海区排水管网工程（二期）——西片2022年度实施部分——郭溪五标段,35:13.0,330304,,温州市行政审批与公共资源交易服务管理中心瓯海分中心,,,温州市瓯海区建设工程招投标监理中心,,A3303040440,,
1682,4721284b-097c-4bbb-ba6a-1da6a1a688f5,农民创业创新孵化园项目设计采购施工总承包（EPC）,A3304010550002794001001,18:31.0,上海徐汇规划建筑设计有限公司,91310104425031638P,25403035,王蕾,0,/,农民创业创新孵化园项目设计采购施工总承包（EPC）,18:31.0,330402,,嘉兴市公共服务平台,,,嘉兴市南湖区住房和城乡建设局,,A3304010550,,
1683,560b57b2-2983-48a8-986d-c385cefc689f,永康市 2022 年小型水库扩能工程（西坑塘水库）项目,A3307840900000329001001,25:00.0,新疆北方建设集团有限公司,91654003726982357M,8432675,李健军,0,不低于国家相关验收合格标准,永康市 2022 年小型水库扩能工程（西坑塘水库）项目,00:00.0,330702,,永康市公共资源交易中心,,,永康市水务局,,A3307840900,,
1684,f73e5ace-612a-42e7-a439-e8d263880da2,瑞安市云周街道社区卫生服务中心新建工程设计,A3303810530000966_01000,14:30.0,浙江省现代建筑设计研究院有限公司,9133000047005189XE,1800000,王伟,365,合格,瑞安市云周街道社区卫生服务中心新建工程设计,14:30.0,330381,,瑞安市公共资源交易中心,,,瑞安市公共资源交易中心,,A3303810530,,
1685,a96b0ff5-5bbf-4804-989c-517159a3ec84,嘉善魏塘街道三里桥村、长秀村两村全域土地综合整治与生态修复工程（安置房）设计,A3304210580000177001001,25:56.0,航天建筑设计研究院有限公司,9.11101E+17,8993233,/,0,/,嘉善魏塘街道三里桥村、长秀村两村全域土地综合整治与生态修复工程（安置房）设计,25:56.0,330421,,嘉善县公共服务平台,,,新点电子招投标监督平台,,A3304210580,,
1686,f9752345-b1bf-45f5-80d3-e2f20fc9db90,宁波新芝宾馆西侧地块装修工程施工（1标段）,A3302030230000814001001,00:00.0,宁波建工建乐工程有限公司,9.13302E+17,122693960,王成,0,按国家施工验收规范一次性验收合格标准，并配合总承包单位争创浙江建设工程优质工程“钱江杯”或国家建设工程优质工程“鲁班奖”,宁波新芝宾馆西侧地块装修工程施工,37:24.0,330203,,海曙区公共资源交易平台,,,宁波市海曙区公共资源交易管理办公室,,A3302030230,,
1687,99f9534b-4a6a-45a0-a9ad-c80559eb72af,北城创意园施工图设计,A3304010550001364001001,20:00.0,浙江华洲国际设计工程顾问有限公司,91330106704751689E,1750000,张建浩,0,/,北城创意园施工图设计,20:00.0,330403,,嘉兴市公共服务平台,,,新点电子招投标监督平台,,A3304010550,,
1688,33c4c812-a5a7-46ec-85d1-f55206f0a7f5,2022年临海市普通省道养护大中修工程,A3310011060002414001001,26:25.0,台州交投公路养护工程有限公司,91331000740544214R,12612933,胡涛,90,合格,2022年临海市普通省道养护大中修工程,08:45.0,331001,,台州市公共资源交易中心,,,台州市交通运输局,,A3310011060,,
1689,c5d0ee79-7a28-4c2d-ae3d-64b94a41920d,金华市公安监管中心“四所工程”迁建项目勘察,A3307300840000158001001,00:30.0,浙江省工程物探勘察设计院有限公司,91330000142927098F,0,肖财和,20,符合设计及现行国家有关勘察规范要求,金华市公安监管中心“四所工程”迁建项目勘察,48:06.0,330701,94,金华市公共资源交易中心,,,金华市住房和城乡建设局,,A3307010780,,
1690,b40a18ac-19d1-4f97-bdd3-da9bb2cba36c,良渚遗址公园西入口综合提升改造工程监理,A3301100140000231001001,00:00.0,政通建设管理有限公司,91330110762039446N,1206550,齐建平,0,无,良渚遗址公园西入口综合提升改造工程监理,28:06.0,330110,,杭州市余杭区公共资源交易中心,,,杭州市余杭区住房和城乡建设局,,A3301100140,,
1691,a9130a6e-c67e-4e05-8aba-578c173788a7,海盐经济开发区老旧小区改造提升工程小区路灯及周边亮化提升工程,A3304240590001046001001,20:19.0,浙江海建建设股份有限公司,9.13304E+17,3391545,朱敏晖,0,/,海盐经济开发区老旧小区改造提升工程小区路灯及周边亮化提升工程,20:19.0,330424,,海盐县公共服务平台,,,新点电子招投标监督平台,,A3304240590,,
1692,1eafae44-833f-4f06-adc2-c305488624d5,宁波市鄞州区清水环通一期工程（南余闸站、长塘闸站）泵组及其附属设备采购,A3302120280991915001001,00:00.0,宁波巨神制泵实业有限公司,9.13302E+17,3298398,/,120,合格,宁波市鄞州区清水环通一期工程（南余闸站、长塘闸站）泵组及其附属设备采购,24:40.0,330200,,鄞州区公共资源交易平台,,,宁波市鄞州区公共资源监督管理中心,,A3302120280,,
1693,8f400864-5004-43ee-bd17-832917f0d6f1,城北徐家山边坡治理工程,PA202002750010010000000,04:32.0,廊坊物探岩土工程有限公司,9.1131E+17,9839385,王见荥,0,合格,城北徐家山边坡治理工程,04:32.0,330903,,舟山市普陀区审批服务与招投标管理办公室,,,舟山市普陀区审批服务与招投标管理办公室,,A3309031020,,
1694,d716959e-2d62-4a61-b464-5df92d7fcc4f,龙港市云岩社区卫生服务中心（康养服务中心）项目施工监理,A3303831280000091001001,10:26.0,浙江昊腾建设工程管理有限公司,91330100060950657G,483360,刘鑫,410,1,龙港市云岩社区卫生服务中心（康养服务中心）项目施工监理,10:35.0,330399,,龙港市公共资源交易中心,,,龙港市自然资源与规划建设局;,,A3303831280,,
1695,0c1dbc7a-1f53-47f8-94db-96a7da44f2e9,诸暨市暨阳街道污水零直排工程-下坊门居2（施工）,B3306813306004877001001,15:58.0,绍兴正大港道建设有限公司,9.13306E+17,11776211,张蕾,180,合格,诸暨市暨阳街道污水零直排工程-下坊门居2,15:58.0,330681,,诸暨市公共资源交易中心,,,诸暨市公共资源交易管理委员会办公室,,A3306810750,,
1696,2e5e60aa-e32e-41c1-89cd-1d5ea1293cd3,第HST-JD08标段,E3300000001000237015008,00:00.0,北京路安交通科技发展有限公司,9111010663379025X9,68382682,范俊松,243,无,杭绍台高速公路工程绍兴金华段,40:45.0,330000,,浙江省公共资源交易中心,,,浙江省招标投标管理中心,,A3300000020,,
1697,e79a8dfb-528f-4aa4-9bc9-687c8d3e1c27,江滨南街东延道路工程监理,A3307830890002461461518,28:57.0,浙江森威建设管理有限公司,91330783728453221U,685402,陈瑞云,180,合格,江滨南街东延道路工程监理,00:00.0,330783,,东阳市公共资源交易中心,,,东阳市住房和城乡建设局,,A3307830890,,
1698,a42a6213-dd9a-40c7-93af-bf42e5a45c98,临海市桃渚镇雄安村（石仓自然村）道路工程,A3310821150002188001001,42:25.0,浙江禹泽建设有限公司,91330281MA2CLMNU8B,946614,刘俊雄,0,合格,临海市桃渚镇雄安村（石仓自然村）道路工程,42:25.0,331000,0,临海市公共资源交易中心,,,临海市公共资源交易管理办公室,,A3310821150,,
1699,67c547eb-accf-4b0e-9602-329cf99d760e,运河新城单元GS1002-A33-15地块48班初中设计,A3301010060301214001001,00:00.0,浙江省建科建筑设计院有限公司,91330000143102565D,2192170,仇侃,0,无,运河新城单元GS1002-A33-15地块48班初中设计,35:45.0,330101,,杭州市公共资源交易中心,,,杭州市建设工程招标投标管理办公室,,A3301010060,,
1700,97b7542a-84fa-4161-a6c4-6ca299466125,台州湾新区滨康大道（海昌路—海丰路）北半幅道路工程,A3310011060002603001001,14:46.0,浙江舜士建设有限公司,91331022762519693Y,5909963,何玲燕,210,合格,台州湾新区滨康大道（海昌路—海丰路）北半幅道路工程,39:28.0,331001,,台州市公共资源交易中心,,,台州市建设工程招标投标事务中心,,A3310011060,,
1701,f307e10b-4535-4cb5-a29e-2d423adf6f22,经开大厦20楼活动室装修工程,A3305010650000210001001,02:25.0,湖州恒峰建设有限公司,91330502MA2B64514U,489838,汪光敏,0,无,经开大厦20楼活动室装修工程,01:56.0,330507,1,湖州经济技术开发区公共资源交易中心,,,湖州市公共资源交易中心,,A3305300710,,
1702,dfd3f339-8fbf-4a99-83fa-55657b186918,含氟电子气体项目（二期）建筑工程施工,A3308010018600010010000,11:45.0,浙江兴阳建设工程有限公司,91330825307553806B,6911908,李运祥,0,无,含氟电子气体项目,11:45.0,330801,,衢州市公共资源交易中心,,,衢州市公共资源交易监督管理办公室,,A3308010910,,
1703,d96f8dbd-4f1e-4799-aba7-e717f3e1c03b,杭宁高速公路湖州市区联络线(太湖龙之梦旅游高速公路)项目建议书、工可编制及勘察设计,A3305010650000394001001,28:50.0,浙江数智交院科技股份有限公司,91330000470040234R,58279133,张海忠,0,无,杭宁高速公路湖州市区联络线(太湖龙之梦旅游高速公路)项目建议书、工可编制及勘察设计,27:43.0,330501,1,湖州市公共资源交易中心,,,湖州市公共资源交易管理办公室,,A3305010650,,
1704,6f125b77-9d33-430f-a92e-a8aa89c1f4e7,2021年安吉县农村公路危桥改造工程之递铺街道李王桥（村道马南线至李王山）和金山桥（村道泥桥至金山K0+041）建设工程,A3305230700001465001001,43:15.0,湖州天辰建设工程有限公司,9.13305E+17,2385863,胡仕龙,0,合格,2021年安吉县农村公路危桥改造工程之递铺街道李王桥（村道马南线至李王山）和金山桥（村道泥桥至金山K0+041）建设工程,43:15.0,330524,,安吉县公共资源交易中心,,,安吉县公共资源交易管理办公室,,A3305230700,,
1705,68ac42e4-d121-4829-9c1e-8cb3fd7a4c60,2022年度江山市公路港航与运输管理中心工程项目施工监理,A3308810005110010010000,07:11.0,浙江通衢工程管理有限公司,9133080014776198X9,1379000,周泉国;,0,无,2022年度江山市公路港航与运输管理中心工程项目施工监理,07:11.0,330881,,江山市公共资源交易中心,,,衢州市公共资源交易监督管理办公室,,A3308810990,,
1706,a6bb8208-c0bd-46a3-82fd-17979292ab8a,鄞州区城镇老旧小区改造三期工程（二批次）全过程工程咨询II标段,A3302120280991895001002,00:00.0,浙江育才工程项目管理咨询有限公司,91330200144078202C,1971789,朱志平,180,达到施工合同规定的质量要求,鄞州区城镇老旧小区改造三期工程（二批次）全过程工程咨询,36:35.0,330212,,鄞州区公共资源交易平台,,,宁波市鄞州区公共资源监督管理中心,,A3302120280,,
1707,6ac451b2-6f4b-4792-8b3a-ef6d3a9fcd16,2021年柯桥区老旧小区综合改造提升（碧水苑西区等小区供排水改造）工程,A3306030730000901001001,02:54.0,绍兴盛和建设有限公司,9.13306E+17,8345492,沈国标,120,合格,2021年柯桥区老旧小区综合改造提升（碧水苑西区等小区供排水改造）工程,30:00.0,330603,下浮率,绍兴市柯桥区公共资源交易中心,,,绍兴市柯桥区公共资源交易管理委员会办公室,,A3306030730,,
1708,052ebd62-bc34-4534-8713-71fd2cb775b6,诸暨市暨阳街道雨污分流工程-梁家埠（马鞍二村周边）（监理）,B3306813306004862002001,39:49.0,绍兴盛邦建设有限公司,91330624MA2BG02J64,98535,绍兴盛邦建设有限公司,0,合格,诸暨市暨阳街道雨污分流工程-梁家埠（马鞍二村周边）,39:49.0,330681,,诸暨市公共资源交易中心,,,诸暨市公共资源交易管理委员会办公室,,A3306810750,,
1710,a227004e-b5f6-4109-82b7-ea40cc0c6ba5,大竹园农房试点健身房及向日葵亲子小屋室内装修工程,A3305230700000315001001,15:40.0,浙江安吉锦程建设有限公司,91330523MA29K91H83,239070,吉祥,0,合格,大竹园农房试点健身房及向日葵亲子小屋室内装修工程,15:40.0,330539,,安吉县公共资源交易中心,,,安吉县公共资源交易管理办公室,,A3305230700,,
1712,e05850e8-4d0b-49b5-8e59-3b48739af2e4,三门县里洋山塘改扩建及灌溉配套设施工程(EPC工程总承包）,A3310221110000798001001,00:00.0,浙江中水工程技术有限公司,9133010414292724XM,8580000,周鸣浩,180,合格,三门县里洋山塘改扩建及灌溉配套设施工程(EPC工程总承包）,17:00.0,331022,,三门县公共资源交易平台,,,1.50008E+15,,A3310221110,,
1713,3efc3397-8b10-4597-ab81-b740ec98219a,观湖蓝庭室外附属景观绿化工程,A3307310850000820820851,45:46.0,浙江金立建设有限公司,9.13308E+17,15133138,张军苗,180,合格,观湖蓝庭室外附属景观绿化工程,00:00.0,330731,,金华市公共资源交易中心开发区分中心,,,开发区建设局招标办,,A3307310850,,
1714,034cddff-dc20-43fe-ad01-d9cc0f307e62,磐安县冷水镇冷水村村内路面硬化工程,A3307270830001219219001,43:59.0,磐安县国耀建设有限公司,9.13307E+17,1044227,施莹莹,90,合格,磐安县冷水镇冷水村村内路面硬化工程,00:00.0,330727,,磐安县公共资源管理委员会办公室,,,磐安县住房和城乡建设局,,A3307270830,,
1715,7ef784db-4725-4b04-9ef6-466b49b76d88,音坑乡下淤村典范村建设项目-交通基础设施提升,2.02106E+22,49:11.0,衢州振声建设有限公司,9.13308E+17,3293306.92,汪李鲲,30,一次性验收合格,音坑乡下淤村典范村建设项目-交通基础设施提升,48:54.0,330824,,开化县公共资源市场化配置监督管理办公室,,,开化县监管办,,A3308240950,,
1717,551eb6e7-dd11-4bf7-aaf2-f2f539078ec6,2022年度甬临新韵线综合改造工程（江口-下陈）监理,A3302830400000291001001,02:00.0,浙江联达工程项目管理有限公司,91330201759092342X,1308306,-,0,-,2022年度甬临新韵线综合改造工程（江口-下陈）监理,00:00.0,330283,,奉化区共资源交易中心,,,奉化区住房与城乡建设局,,A3302830400,,
1718,c1b27da9-2f64-4a79-81cf-20bacd504a54,江东街道和欣路两侧道路衔接及场地硬化（端头段）工程,JD20210324001-S00100000,49:24.0,浙江金茂建设有限公司,91330803751169536W,1319996,俞富强,90,国家现行施工验收规范合格标准,江东街道和欣路两侧道路衔接及场地硬化（端头段）工程,49:24.0,330782,,义乌市公共资源交易中心,,,义乌市·江东街道,,A3307820880,,
1719,c34ca189-9898-4a61-9c55-2c079f59c0af,富祥路二期工程（高桥北路至恩波大道）,A3301110200300608001001,00:00.0,天津金百隆建筑集团有限公司,9.11202E+17,19952500,陈博,0,无,富祥路二期工程（高桥北路至恩波大道）,09:06.0,330111,,杭州市公共资源交易中心富阳分中心,,,杭州市富阳区建设工程招标投标管理办公室,,A3301110200,,
1720,d47691a2-7244-420f-9820-01b7574137c6,于城镇观景苑绿化景观提升工程,A3304240590001972001001,54:19.0,嘉禾大地园艺有限公司,91330424751906487Q,750603,马佳梅,0,/,于城镇观景苑绿化景观提升工程,54:19.0,330424,,海盐县公共服务平台,,,新点电子招投标监督平台,,A3304240590,,
1721,7f33aaab-0cf7-4a7d-b957-83a7421f6350,瓯江口国际新城农贸市场,A3303010410000004001001,38:18.0,信实环境建设集团有限公司,9.13308E+17,7471075,余士傲,100,合格,瓯江口国际新城农贸市场,39:01.0,330301,,温州市行政审批与公共资源交易服务管理中心,,,温州瓯江口产业集聚区管理委员会招投标办公室,,A3303010410,,
1722,3a9c6110-58b7-445b-9b64-c41ab42f7cfc,星碧大道提升工程,A3307260820001487001001,27:52.0,浙江华鼎市政建设有限公司,9.1331E+17,21299952,钟先更,120,合格,星碧大道提升工程,27:48.0,330726,,金华市公共资源交易中心浦江县分中心,,,浦江县住房和城乡建设局,,A3307260820,,
1723,cb6c4fb6-eb8d-475c-91d1-5fb9a0ca9567,镇骆路DN600原水管（碧水莲晴四期-望海南路管段）移位重建工程EPC,A3302110270000354001001,46:00.0,"宁波市镇海区市政工程有限公司,宁波公路市政设计有限公司",91330211144367426W,6363778,颜老师,0,按国家施工验收规范一次性验收合格；按国家技术规范、标准及规程，达到招标文件要求的设计深度,镇骆路DN600原水管（碧水莲晴四期-望海南路管段）移位重建工程EPC(重招),00:00.0,330211,,镇海公共资源交易中心,,,镇海区住建局建招办,,A3302110270,,
1724,c7048bae-c697-42c5-b9ce-64cc2693ae5b,工作服,N3302010000006402001001,43:05.0,宁波唐马服饰有限公司,9133020478432386XB,1455616,-,0,-,工作服采购项目,00:00.0,330201,,宁波市公共资源交易中心,,,其他（非监管中心监管项目）,,A3302010220,,
1725,65b1defd-c951-4042-a89d-544d6920c38b,浙江丽缙五金科技产业园绿色创新产业孵化园（标准厂房）工程货梯采购000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,A3311011160003992001001,35:18.0,浙江威斯汀电梯有限公司,9.13301E+17,2830000,无,90,1,浙江丽缙五金科技产业园绿色创新产业孵化园（标准厂房）工程货梯采购,35:18.0,331122,,缙云县公共资源交易中心,,,丽水市行政审批服务管理办公室,,A3311221190,,
1726,a6fd6220-6215-4f3b-8361-c848d8adcac3,天青里,A3301010060300110001001,30:00.0,北京首开万科物业服务有限公司,91110101MA0177PJXF,3054200,无,0,无,天青里,17:21.0,330101,,杭州市公共资源交易中心,,,杭州市住房保障和房产管理局物业监管处,,A3301010060,,
1727,05219f3a-93c9-4d84-b5c9-b3cad2f40ceb,嵊泗海关马迹山二期取制样设施维修改造项目（第二次招标）,SSD20200024001001000000,21:37.0,冬暄（上海）测控技术有限公司,91310110MA1G82ED85,6366925,无,0,合格,嵊泗海关马迹山二期取制样设施维修改造项目（第二次招标）,21:37.0,330922,,嵊泗县招投标中心,,,嵊泗县招投标中心,,A3309221030,,
1728,64a621af-0869-42e2-b726-24ff8f9b118a,文创港核心区启动地块（一期）酒店市政景观工程（施工）,A3302050250000128001001,04:00.0,浙江良和交通建设有限公司,91330225144987078R,17695439,-,0,-,文创港核心区启动地块（一期）酒店市政景观工程（施工）,30:00.0,330205,,宁波市江北区公共资源交易中心,,,江北区公管办,,A3302050250,,
1729,bfa244e9-4450-4808-ae35-5867036475bc,2020年黄岩区宁溪镇农村生活污水灾后修复治理工程（上桧村排水管线）,E3310011234000936001001,04:34.0,浙江舜士建设有限公司,91331022762519693Y,2779822,杨再法,300,合格,2020年黄岩区宁溪镇农村生活污水灾后修复治理工程（上桧村排水管线）,02:52.0,331001,,台州市公共资源交易中心,,,台州市黄岩区建设工程招投标管理办公室,,A3310011060,,
1731,39959c74-68b9-428e-a498-4ecde56aa20b,报福镇中张村畲村便民服务中心改造提升工程,A3305230700001415001001,52:58.0,安吉锦瑞建设有限公司,91330523MA29JTLF80,467465,朱树萍,0,合格,报福镇中张村畲村便民服务中心改造提升工程,52:58.0,330531,,安吉县公共资源交易中心,,,安吉县公共资源交易管理办公室,,A3305230700,,
1732,023aa143-8989-4055-aa03-10d9f229581f,中国京杭大运河博物院（暂名）项目二期监理,A3301010060302034001001,00:00.0,浙江泛华工程咨询有限公司,91330000720084505E,20295800,游小平,0,无,中国京杭大运河博物院（暂名）项目二期监理,36:17.0,330101,,杭州市公共资源交易中心,,,杭州市建设工程招标造价服务中心,,A3301010060,,
1733,bbc7603c-2541-4034-9e87-445deaad806e,龙湾城市中心区城中村改造工程（永中单元A-14、A-34、D-08地块、瑶溪南单元12-I-11地块）空气源热泵热水系统项目,A3303030430000003001001,54:28.0,太阳雨集团有限公司,91320700553824966N,4680606.96,马率锋,80,合格,龙湾城市中心区城中村改造工程（永中单元A-14、A-34、D-08地块、瑶溪南单元12-I-11地块）空气源热泵热水系统项目,54:35.0,330303,,温州市行政审批与公共资源交易服务管理中心龙湾分中心,,,温州市龙湾区建设工程招投标监理站,,A3303030430,,
1734,df7f7f33-aebf-4eab-9c9b-bf8d0116154e,温州市域铁路S2线一期工程车站（含区间）风水电及装饰装修工程项目I标,A3303010410003279279001,40:09.0,中铁四局集团有限公司,9.134E+17,127251000,李能华,549,符合国家、行业、地方相关技术规范和招标文件要求，达到一次性验收合格。,温州市域铁路S2线一期工程车站（含区间）风水电及装饰装修工程项目I标,48:07.0,330301,,温州市行政审批与公共资源交易服务管理中心,,,温州市交通运输局,,A3303010410,,
1735,edf51b62-8b19-40b9-af38-81d03d5177d1,龙港市迎港路改建工程（阳升路-东城路）,A3303831280000051001001,26:18.0,浙江裕欣建设有限公司,91330381586266972U,13796500,陈海洲,300,1,龙港市迎港路改建工程（阳升路-东城路）,25:52.0,330399,,龙港市公共资源交易中心,,,龙港市自然资源与规划建设局;,,A3303831280,,
1736,aaeffeee-8179-41fe-8ffd-bfdd3b8b9215,武原街道污水零直排工程（光明、小曲社区）排摸、疏通、设计,A3304240590000575001001,51:22.0,同创工程设计有限公司,91330600742005425K,1362300,陈少军,0,/,武原街道污水零直排工程（光明、小曲社区）排摸、疏通、设计,51:22.0,330424,,海盐县公共服务平台,,,新点电子招投标监督平台,,A3304240590,,
1737,2710bf51-d1fc-481a-9521-1fe5bc4b423c,瓯江口新区总部基地（发展大楼）3#楼10-12层装修工程,A3303010410000004001001,25:16.0,温州市一都建设有限公司,9.13303E+17,5507351,谭德俊,120,合格,瓯江口新区总部基地（发展大楼）3#楼10-12层装修工程,25:26.0,330301,,温州市行政审批与公共资源交易服务管理中心,,,温州瓯江口产业集聚区管理委员会招投标办公室,,A3303010410,,
1738,5619e8dc-bdc5-4abc-9893-93ee6eefa93c,2022年洪合镇新王桥村2组、凤桥村3组土地复垦项目,A3304010550002537001001,54:47.0,浙江星荣建设有限公司,91330523MA2B60UQ7A,4088456,王忠良,0,/,2022年洪合镇新王桥村2组、凤桥村3组土地复垦项目,54:47.0,330411,,嘉兴市公共服务平台,,,新点电子招投标监督平台,,A3304010550,,
1739,298bc2dd-d476-4ef2-bcc4-79bb05e6f2bf,"虹桥镇城东幼儿园道路景观工程,",A3303820540001258001001,15:39.0,温州建丰建设有限公司,91331102MA2A13W90H,1184368,无,60,1,虹桥镇城东幼儿园道路景观工程,15:23.0,330382,,乐清市公共资源交易中心,,,乐清市建设工程招标投标管理站,,A3303820540,,
